abak,morning,nauukol sa umaga
alubebe,fermented salted fish sauce,
"aluminyum, aluminium",aluminum,aluminyo
aluwagi,carpenter,"karpentero, karpentera"
amanwan,mean (to signify),
ambukan,root,puno
ambul,mix soup with the rice,
amfiby,to you,
amlat,historical record,
ampil,clean/wash the dishes,
ampit,go inside the house,
amuk,mosquito,lamok
amusal,breakfast,almusal
amuyam,sponge,espongha
"amuyutan, konbincian",persuade,"humikayat, umakit, mag-udyok, magbuyo"
anam,six,anim
anapaya?,what did he/she say?,
andarul,child's walker,
angkamin,"claim as one's own, covet",angkin
angu,"extract, take","hugutin, hanguin, katasin, pigain"
anibersario,anniversary,anniversaryo
anitpatiko,antipathetic,mabigat ang dugo
antabe,close by,
"antayu, ante",where,"saan, san"
ante,where is,
anti,like,ganito
anti,"compared to, like unto",
anticipo,down payment,
anto,where are,
anyus,years (years/old),
ap,visit,bisita
apag,to set the table,
aparadul,wooden cabinet,
apekto,effect,bisa
apektuan,affect,makapinsala
"apialis-alis, apidusug-dusug",movable,urong
apibabaluktut,flexible,"malambot, sunodsunuran"
apibata,withstand,"lumaban, mananggalang"
apibata,stand,tumayo
"apilido, pilidu",surname,apelyido
"apiunab, apibalak",realize,"isagawa, gawin, ganapin"
apse,"say, state",sabihin
apuntador,prompter,"dali, madali"
arana,serenade,harana
aranguilla,syringe,hiringgilya
areplano,plane,katam
areplano,airplane,"eroplano, salipawpaw, sasakyan"
armi,army,hukbo
"asaganan, asalubung, atabnuan",meet,"salubong, sumalubong, salubungin"
asbuk,mouth,bibig
asik,"i.e. rice, sowing seeds",
aske,"countenance, look",itsura
aslagan,"east, where the sun rises",east
aslak,sunken,"humpak, impis"
aslat,"insert in, meddle in",
asnuk,be full of,
aspak,crack,biyak
aspakan,break,sirain
astaka,stake,istaka
astrononia,astronomy,"karunungan tungkol sa laki, sukat at kilos ng mga tala, bituin at ibp"
asuk,smoke,"aso, usok"
aswal,dig up,
aswen,harrow,suyod
asyag,sty,gulite
atab,tide,kati
atatagkil,tangible,nahihipo
atbu,sugar cane,
"atbus, atbusan",ransom,"pantubos, panubos"
"atchi, atsi",older sister,
atdu,gallbladder,abdo
atdu,gall bladder,
atilu,"in, within",sa lugar
atlu,three,matris
atsit,pick out,
atul,"decision, prescription, verdict",desisyon
atyat,stretch out the arm,
aula,cage,haula
"ausan, maus",call,tumawag
autoridad,authority,"kapangyarihan, kapahintulutan"
ayamuyut,"persuade, coax, convince","humikayat, umakit, mag-udyok, magbuyo"
ayanak,beget,"manganak, magkaroon, magtamo, mamunga"
ayntindyan,understand,intindi
"ayus, areglado",all right,
babagwa,spider,gagamba
babat,"belt, sash",sinturon
babi,pig,baboy
bagkat,"jam, jelly",halea
bagse,"oar, paddle",sagwan
bague,matter,maukol
bague,stuff,bagay-bagay
"bagutan, mabit, gulyut",pull,hila
bagya,"a little bit, slight",bahagya
"bagya, baguia",little,"kaunti, unti"
bagya-bagya,slowly,"dahan dahan, dahan"
bagya-bagya,slightly,babahagya
bagyus,feather,bagwis
bagyus,wing,pakpak
bagyus,the long wing feathers,
baiki,mumps,biki
"baintau, soltero",bachelor,binata
baiwan,new,jogo
baknal,have the throat blocked,
bakulau,ape,"unggoy, matsing"
bakulud,"a plateau, high plain",
bakwe,smoke a cigarette with lit end in mouth,
balabalibul,spiral,paikot
balakwit,wicked,masama
balasenas,eggplant,talong
balasik,fierceness,bangis
balbakua,cod,bakalaw
"balbal, lasi",shattered,"putol, bibinga"
balen,"country, town",ukol sa bukid o parang
"bali, baling, daracha",virtually,virtual
baligon,distract,"lumibang, luminlang"
balikdan,glance at,
balikid,look for the past,
balikid,to loock backward,
"balita, inpormacion",information,"hiwatig, balita"
baliuag,untouched,hawak
baltang,shortcut,nananapat
baluarti,bulwark,"munting kuta, kublihan sa kalaban"
baluatan,pry,"tuklap, magtuklap, tuklapin"
balubad,"cashew, cashew tree and the fruit",kasoy
balugse,throw away,
"balugse, balabag",slam,"hampas, humampas"
balungus,mouth,bibig
balungus,upper lip,
balusbus,"like rice, winnow",tahip
balwan,to know,
bana,swamp,latian
bana,translate,salin
bandala,bag,karsamunela
bandi,darling,"sinta, irog, giliw"
bandi,property,ari
bandian,claim,angkinin
bangal,"divide, split",hati
bangi,rice crust at the bottom of the pot,
bangkal,mangrove tree,
bangkasu,a kind of basket,
bangke,corpse,bangkay
bangli,"burn with hot water, scald",banli
banglu,sweet smell,
bangnas,"rotting smell, spoil",mabulok
banguera,cupboard,paminggalan
banila,vanilla,banilya
banketa,sidewalk,bangketa
"bansa, labuad, balen",country,ukol sa bukid o parang
bante,guard,bantay
banten,watch,orasan
banua,"sky, year",langit
"banua-banua, banuahan",annual,"taunan, nagtatagal ng sangtaon"
banus,"furled leaf, usually palm",
baradap,drum,tambol
barag,iguana,bayawak
"barak, barag",lizard,butiki
barandillas,baluster,barandilla
baria,coin,piseta
barikulkul,Where you go,
"barilis, dram",barrel,bariles
barkillo,waffle,"barkilyos, apa"
barkun,porch,balkon
barongga,throw,"hagis, ihagis"
"basibasan, barongan, basibas, baronga",cast,"hagis, ihagis"
bast,bust,"busto, larawang ulo o kaya'y hanggang kalahatian ng katawan"
bastag,let loose,
basultu,kapampangan folk dance,
batal,neck,batok
batala,omen bird,
batcha,large basin,
batiawan,"see, watchtower",makita
batingting,bell,kampana
batio,watch over,
batuytuy,bird,ibon
batwin,star,bituwin
"bawasan, bawasnan, bosnan, kulangnan",lessen,"bawas, magbawas, ibawas"
bayat,weight,timbang
"bayu, kababaiwan",new,jogo
bayuk,sag,lundo
bayutuk,bend something down,
belwan,knowledge,alam
benepicio,advantage,lamang
bengador,avenger,mapanghiganti
bengatibo,vindictive,vendictive
benusan,furrows in rice paddies,
beranda,balcony,balkon
berdigonis,pellet,pilduras
beria,sweetheart,kasintahan
bersikulo,verse,"tugma, tugmaan"
beterinario,veterinarian,manggagamot ng hayop
betute,stuffed frog,
biabas,guava,bayabas
biahe,trip,talisod
biasa,genius,talagang ugali o asal
biasa,"clever, skillful",marunong
bibinka,cake,puto
bichu-bichu,donut,donut
bie,give,ibigay
bie,"give, life",ibigay
bie,pahingi,pahingi
bigak,farrow,manganak ang inahing baboy
bingo,crack or chip in a blade,
biniagan,baptize,"binyag, magbinyag, binyagan"
bioleta,violet,byoleta
biria,wax,pagkit
birya,amber-like substance used for patching,
bisinkleta,bicycle,bisikletas
"bista, byu",view,tanawin
bitas,torn,pingas
bitaul,howling of a dog or wolf,
"bitin, bikti","hang, python","bigti, magbigti, bigtiin"
bitis,leg,binti
bitse,winnower,bistay
biye,"give, life",ibigay
biyuk,scar,peklat
biyung,roaring sound,
blanko,blank,blangko
bokaypatu,pincers,"sipit, panipit"
bokyu,stupid,angmang
"bomba, bomban, momba",pump,bomba
boxingero,boxer,boksingero
brip,brief,maigsi
buat,carry on the back,
bugatchan,huge belly (not pregnant),
bugnus,"expend, to let out",piglas
buisan,lease,"pangungupahan, kasulatan tungkol sa pag upa o pagbwis"
bukatut,a kind of fish trap,
"buklo, muklo, tumumbo",bulge,bural
bukungtari,knuckles,buko
bukut,"bent over, crooked",baluktot
bulalag,reveal,"bunyag, magbunyag, ibunyag"
bulangisngis,a kind of bat,
bularit,a kind of cockfighting game,
bulaun,molave tree,
bulawe,hawk,lawin
bulikat,cramp,kalambre
bulus,pitcher,pitsil
bulus,"to set free, or to release",
bulus,"diarrhea, flood, pour",pagtatae
bulus-bulus,stray,"ligaw, maligaw"
bulyo,yell,hiyaw
bulyus,masturbate,etab
bungil,a catfight,
buntuk,head,ulo
burarul,kite,burador
busni,open,iunat
butaki,house lizard,
butaki,lizard,butiki
butikas,calf muscle,
butit,calf,binti
butu/buto,dick / dick,
butul,"bone, seed",buto
butulan,a kind of banana that has seeds,
buyagyag,flabby,"malambot, mahina"
"buysit, sisti, biruan, buysitan, mamuysit, magsisti",joke,biruan
buysitan,tease,"tukso, manukso, tuksuhin"
bvrsad,cover,magmaskara
bwak,hair,buhok
byai,"journey, trip",pasahe
byakus,a type of fishing net,
camello,camel,kamelyo
canglap,danger,panganib
capeteria,cafeteria,kapetirya
"carera (professional -of dogs, horses, cars, etc.)",race,karera
cebano,violin,magbiyolin
centimetro,centimeter,centimetro o ikasangdaang bahagi ng metro
cerbesa,beer,bruwski
chichirya,junk food,
cigarillo,cigarette,isoy
cirkero,acrobat,"sirkero, akrobata"
cirku,circus,sirko
cirkulo,circle,bilog
ciudad,city,"pangulong bayan, bayan"
"clerk, eskribiente",clerk,kawani
colehiala,collegian,ang nag-aaral sa malaking paaralan
complikacion,complication,"gulo, pagkakasikotsikot"
condicion,condition,kondisyon
conferencia,conference,kumperensya
contrabando,contraband,puslit
contratista,contractor,"ang tumatanggap ng kontrato, ang pumapakyaw ng anomang gawain"
convincen,convince,amuyot
curiro,romance,romansa
daba,a large wide-mouth earthen jar,
dadabulbul,gushing out,
dadanup,starving,nagugutom
"dagdagan, miragdag, dakal",increase,"dagdag, kapupunan, tubo"
dagis,rat,daga
dagis-dagisan,lump in flesh caused by a sharp blow,
daguis,rat,daga
daiwan,foreigner,"dayo, dayuhan"
daka,you (first person executing the verb),
dakal,"many, much",dami
dakal,abundant,masagana
dakal,majority,"karamihan, kalakhang bahagi"
dakal,proliferate,[proliferate
dake,"portion, share","tipak, magtipak, tipakin"
daklat,path,landas
dakpan,capture,mabihag
dakpan,"catch, to catch or apprehend",salo
dalaira,talkative,matabil
dalakit,"come over, cross over",
dalakit,to cross,
dalangat,to look up,
dalangita,an orange,
dalangita,tangerine,dalanghita
dalayap,lime,dayap
dalerayan,description,"pananalaysay, paglalarawan"
dalum,"accusation, complaint, lawsuit",akusasyon
dalungdung,shelter usually a lean-to,
dalyawat,"acne, pimple",tagyawat
damara,"a shelter, arbor, shade","balag, glorieta, kakahuyan"
damauana,"a big glass container, demijohn",dama huana
damla,honor,karangalan
dampul,"color, dye",kulay
damuku,a field crab,
damul,mess up,
damusak,step on,
damusakan,to step on,
dana,matabang tomboy,
danggut,"edge, point",gilid
danum,water,dilig
danun,early,maaga
danupan,"hungry, starving",nagugutom
dapal,hurry,dali
dapdap,"balete tree, home of the fairies",
dapot,"but, however",subalit
dapug,bonfire,siga
dapuk,put inside a container,
darabulbul,gushing over,
daragis,constipated,constipated
daratang,upcoming,upcoming
daratang,impending,"nagbabanta, nagbabadya"
darechuanan,heart-to-heart,puso
dars,aunt,"ali, ale"
das,to arrive,
dase,woven mat used for sleeping,
dase,mat,"lulon, maglulon, ilulon"
dasnan,come upon,
"dati, sadia",original,tunay
datuk,to put in a bag,
datukanan,"bag, bottle, container or bag",karsamunela
datun,"peaceful, silent",panatag
dawak,evil,masama
dawayan,indecisive,"urong-sulong, nag-aagamagam"
dayat,field,lupa
debocion,devotion,"panata, dasal"
decisionan,decide,"disisyon, magdisisyon, disisyunan"
dekoracion,decoration,dekorasyon
delegacion,delegation,delegasyon
delirio,delirium,deliryo
denas,sparrow,pipit
depaskwa,poinsettia flower,
depektado,defective,"pagkukulang, pagtiwalag, pagpapabaya"
depekto,flaw,pintas
derit,kind of fishing net,
determinacion,determination,"pasiya, kalutasan"
"determinado, decidido",determined,determinado
dewakan,universe,sanlibutan
deyt,date,petsa
"diablos, demonio, alte, digpa ning alte",devil si jm,
"diablus, alti",damn,"tungayawin, alipustain, laitin"
diario,newspaper,diaryo
diborcio,divorce,diborsiyo
digpa,fell or dropped on,
dikcionario,dictator,diktador
"dilensian, magdilensia",extort,"mangagaw, manggahasa, maniil, manulisan"
dimla,cold,lamig
dimpol,dye,kulayan
dimpulan,dyed,kulayan
dimut,lacking,kapos
dipaningalti,"curse, may lightning hit you",sumpa
direkcion,direction,"talumpati, diskurso, tirahan, tinitirhan, direksyon"
diretsa,direct,diretso
diris,dried fish,
disciplina,discipline,disiplina
"disciplinado, madisciplina",disciplined,disiplina
"disgustado, mesumami",disgusted,"inis, mang-inis, inisin, mainis"
disgustu,disgust,aba
disinuebi,nineteen,labing syam
disku,a mishap,
dispacha,dispatch,"hatid-kawad, telegrama"
dispu,hello,hello
distiliador,screwdriver,disturnilyador
"distritu, distrito",district,"pook, nayon"
ditak,"few, little, slight","kaunti, unti"
ditak,little,"kaunti, unti"
ditak,small,liit
"ditak dili, puguít",least,kaliitliitan
ditak-ditak,little by little,
dolar,dollar,dolyar
domingo,week,linggo
donkella,virgin,donselya
duelo,duel,"makipag-away, makipagbabag, makipaglaban"
dugpa,"alight, drop, land on",bumaba
duku,stoop,yumukod
duku,bow to,
duku,duck,bibi
dulukan,to burn,
dumanup,starve,mamatay sa gutom
dumayas,strain,"sala, salain, magsala"
"dumulang, parulang, rollo",roll,balumbon
dumurut,spin,paikitin
dumurut,turn,buklat
"dumurut, padurut",rotate,"ikit, umikit"
dungus,stomach,tiyan
durut,spin around,
dusug,move,urong
dutung,"tree, wood",puno
dutung,timber,kahoy na panangkap sa paggawa ng bahay
dutung,stick,"dikit, dumikit"
duwala,mystery,"hiwaga, mahiwaga"
duwang,hand something over to somebody,
dwi,fishbone,tinik
dwi,fish bone,
ebanghelio,gospel,ebanghelyo
ebidencia,evidence,katunayan
"ebun, kulul ebun, kuliawan",yellow,dilaw
economia,economy,ekonomiya
ectaria,hectare,Tawag sa sukat ng lupa
eehwl,circumstance,pangyayari
ef,bold as love,
elebeitor,elevator,elebetor
elegante,elegant,"makisig, mainam"
empleado,employee,empleyado
endredos,scandal,"eskandalo, kahalayan"
entonkes,thus,"ganito, sa ganitong paraan"
episentel,epicenter,epiko
ercicio,exercise,pairalan
eskribiente,scribe,"manunulat, tagasulat"
espia,spy,espiya
esponga,sponge,espongha
estatua,statue,larawan
estiman,esteem,"mahalin, pahalagahan"
estrangheru,"alien, stranger","dayo, dayuhan"
estrella,star,bituwin
estudiante,student,mag-aaral
exacto,precise,"kailangan, karakaraka, ganap"
flcvhq,strike,paluin
francia,france,franses
gabak,torn,pingas
gabak-gabak,tattered,"gulanít, gulá-gulanít, punít-punít, sirá-sirâ"
gabun,"land, soil, ground",lupa
gadtu,half-cooked as in rice,
gaguti,cannot talk straight,
gakgak,cry,iyak
galapak maili,guffaw,halakhak
galaukan,pick,piko
galiguit,gnash,magngalit
galikguik,giggle,ngisi
galikguik,screech,"hiyaw, sigaw"
galikguik,squeak,"tili, hiyaw, pigibik"
galo,"action, movement",galaw
galudgud,spine,gulugod
galudgud,backbone,"gulugod, buto sa likod"
ganadus,animals,hayop
gandus,yam,ube
garapata,flea,pulgas
garitun,cart,kareta
gartilla,wheelbarrow,kartilya
gaslo,unruly behavior,
gastarul,wasteful,"aksaya, mag-aksaya, aksayahin"
gastarul,extravagant,aksaya
gastarul,spendthrift,bulagsak
"gastus, pigastusan",expenditure,"gugol, nagugol, ginasta"
gatal,itchiness,kati
gatiauin,name of a barrio in arayat,
gatpanapun,afternoon,hapon
"gawa, dapat, accion",action,galaw
gawuk,to get something by using (dipping) the hand,
gayndu,mother,magulang
gayndu,mother (of animals),
gili,slice,hiwa
gitad,flirt,kikay
gitata,reek,"usok, aso, singaw"
gosa,gauze,"gasa, kayong manipis"
gracia,blessing,biyaya
gracia,boon,"kaloob, bigay"
graduacion,graduation,pagtatamo ng titulo sa anomang karunungan
granati,maroon,"doon, naroon, nandoon, paroon, pumaroon"
grande,grand,"dakila, bunyi"
"guardia, guardian, banten",guard,bantay
guarnakion,bridle,kabesada
"gubat, kakewan",jungle,gubat
guilian,cut,lapangin
guilid,border,tabi
guilid,brink,"gilid, tabi, pangpang"
guilid,edge,gilid
"guilid, tibis",slope,gulod
"guilitan, guilit",slit,"sipak, lahang"
guinaldo,gift,kaloob
guisingan,wake up,
"gulasio, gulait",yell,hiyaw
gulasyo,shout,sigaw
gulis,mark,senyal
gulis,line,linya
gulisan,scratch,galos
gulut,back,likod
gulyutan,tow,paghatak
gumale,sing,kumanta
gurul,hill,burol
gusal,activity,gawain
gutgut,complicated,"kumplikado, magulo"
hata,will you do something?,
hege,dinner,"hapunan, maghapunan"
his/hers,"keya, kaya","galaw, kilos, kiya, ismid, ingos"
hudios,jew,hudyo
huebes,thursday,huwebes
"hues, kuman, atulan",judge,huwes
hulio,july,hulyo
hunio,june,hunyo
husticia,justice,katarungan
mapalyari,suppose,"maghinala, magsapantaha, ipagpalagay"
iagkas,say,sabihin
"ibalik, subli",return,"bumalik, balikan"
ibe,dizzy,ibay
ibie,give,ibigay
ibie,convey,"maglipat, maghatid"
"ibie, pagkalub",extend,"dugtong, dumugtong, dugtungan"
ibye,give,ibigay
idake,share,ambos
"iduang, yabut",hand,kamay
iglip,doze off,
iglo,eagerness,asam
igpit,"strictness, tightness",kahigpitan
igrupu,classify,uriin
ikwa,get,matanggap
ila,"them, they",sila
"ilaga, mukal",boil,ilaga
"ilague, ipalto",expose,"hinga, maghinga, ihinga"
ilanio,rarify,buhaghagin
"ilapad, ilualas",widen,"laparan, lwangan, lwagan"
ilib,cogon grass,
ilig,"interest, taste for",interes
ilu,silk,seda
imungkai,suggest,imungkahe
imut,ask for something,
independencia,independence,pagsasarili
"inspeksyunan, inspekcionan",inspect,suriin
inspiracion,inspiration,inspirasyon
intencion,intention,"balak, magbalak, balakin"
inyawad,ask for,
ipabando,advertise,ipabalita
"isadia, yanda, magsadia",observe,magmasid
isak,small brook or stream,
isik,chinese,bagay sa kainsikan
iskrin,screen,tabing
iskuala,miter,munting bagay
"iskuater, makituknang",squatter,nakayuko
istuna,stop,"iwas, umiwas, iwasan"
itaid,link,"magkabit, ikabit"
itas,elevate,"itaas, pataasin"
"itas, ibuat (lift)",raise,angatin
"itatag, ipundar",establish,magtatag
itaute,retail,"tingi, amot"
"iti, ining, ining..aini",this,ganito
itulid,straighten,"tuwid, tumuwid"
iyagpa,spread,iunat
iyapse,say,sabihin
jo,friend,barkada
jo,partner,kaanib
jo,love,pagmamahal
kaballero,cavalier,nakasakay sa kabayo
kabangal,a piece of,
kabat,to lock,
kabayangnan,youth,kabataan
kabiasnan,intellect,talino
kabiasnan,wisdom,talino
kabid,pull back,
kablas,echo,"umalingawngaw, tumaginting"
kabsi,fullness,kabusugan
"kabusadu, sanak",familiar,kabisado
kabyo,process sugar cane into sugar,
kadalumduman,darkness,dilim
kagli,state of conceiving,
"kaguili, guilian",slice,hiwa
kaili,left,"alis, natira"
kaili,left side,
"kakaburi, kapalsintan, nobia, -ia",sweetheart,kasintahan
"kakaburi, katipan, nobio nobia","fiance, fiancee",kasintahan
kakak,stammer,"mautal, maumid"
kakak,stutter,"umutal, mautal, magago, magaril, maumid"
kakak,stammerer,mali-mali
kakak,stuttering,"gago, gaga"
"kakaluluan, kalipitan",poverty,hirap
kakewan,forest,gubat
kaklak,deafness,kabingihan
"kakompetencia, kasalipit",rival,"kaagawan, kalaban"
kalaalangnan,venerable,kagalanggalang
kalabkab,blaze,"liyab, magliyab"
kalabukab,a poisonous snake similar to a cobra,
kaladua,soul,"kalulwa, tao, katao"
kaladwa,soul,"kalulwa, tao, katao"
kalagad,scarcely,dxkrgk
kalakati,snips used for breaking betel nut,
kalame,a kind of rice cake,
kalamunding,philippine lemon,
kalamunding,lemon,limon
kalamungge,a kind of vegetable,
kalapanti,shards of broken china or ceramics,
"kalbag, kinco",nickel,nikel
kalbit,"touch, tap",hawak
kalbitan,trigger,gatilyo
kalbitan,pluck,"labnot, manglabnot, labnutin"
kaleldo,summer,tag-araw
kaleldo,season,kapanahunan
kalgareta,a kind of meat stew,
kalibyan,lust,kalibugan
kalikubak,dandruff,balakubak
kalilwa,"separate, set aside",hiwalay
kalinguan,forget,limot
kalken,scrawl,sulat na padaskol
"kalubalab, baiwan",neophyte,"bagong binyagan, bagong nag-aaral"
kalugkug,roar,dagundong
"kalulu, pakakalulu, lipit",poor,mahirap
kaluskus,rustle,"kumaluskos, lumagitik"
kaluskus,sound,"ingay, maingay"
kamantigi,a kind of tree,
kamatsilis,a kind of fruit tree,
kamutingan,silliness,"kamusmusan, kahangalan"
kandungangu,a wild bird,
kantidad,volume,bulto
kanunugak,garden snake,
kanunugak,snake,ahas
kanwari,pretend,magkunwari
kanyaman,delicious,sarap
kanyo,pig slop,
kapadurutnan,biochain,kadena
"kapagobra, kompanero",co-worker,kasamahan sa trabaho
"kapaintulutan, tulut",consent,"pahintulutan, itulot, magpahintulot, pumayag"
"kapalit, kaliwas",alternate,"halinhinan, halihalili"
"kapalit, kayalili",substitute,kahalili
kapalsintan,lover,"nangingibig, mangliligaw"
kapalyarian,"happening, situation",nangyari
kapartner,partner,kaanib
kapasensiahan,patience,tiyaga
"kapigaganaka, pigaganakan, migaganaka",worry,balisa
kapilla,chapel,bisita
kapitna,half,medya
kaplas,"hurt, sting",hapdi
kapsa,shell,kabibe
kaptas,bale,"magtali, magbigkis"
kaptas,sheaf,"haya, bigkis"
kapusantu,cemetery,sementeryo
"karculan, tantian",estimate,halagahan
"karinan, tuknangan",shelter,kanlungan
karkulador,calculator,"tagakuro, tagatasa"
karwai,carriage,karosa
kasalesayan,story,"kuwento, kwento"
kasalpantayanan,faith,pananampalataya
kasalungsungan,currently,"ngayo'y, ngayo"
kasankapan,appliance,"pagsasangkap, paggamit"
kasankapan,property,ari
"kasantingan, marimla",cool,walastik
"kasapakat, kasorait",accomplice,kasabwat
kasapunggul,bunch,bungkos
kasapuwegu,match box,
kasilyas,toilet,kubeta
kasnuk,abhorrence,"yamot, inip, muhi"
kastanas,chestnut,kastanyas
kasuba,safron,kasubha
"kasulung, progreso",progress,unlad
kasulungsungan,current,kuryente
kasulungsungan,live,tahan
kasumangid,"across, beyond, the other side",sa tapat ng
katambayan,"co-worker, collaborator",kasamahan sa trabaho
katampatan,appropriate,karampatan
"katatan, guilian",slash,laslas
katibug,basket,buslo
katmu,full of,
katuangan,father-in-law,biyenan
katuglung,continuation,karugtong
katus,snap,paltok
kaul,embrace,yakap
kaul,hug,yakap
kayabe,companion,kasama
kayaduanan,request,habilin
kayagape,beside,tabi
kayalan,absence,kapalyahan
kayanib,member,kasapi
kaybat,after,matapos
keganagana,total,kabuuan
keibaitan,birth,kapanganakan
kekatamung,our,atin
kekaungan,to all,
kekayu,yours,inyo
kekongan,to all of you,
kelat,ubiquitious,ang pagkakapasa lahat ng dako
"kelebrahan, magkelebra",celebrate,ipiagdiwang
keni,here,dito
kenu,whose,kanino
kepis,cap,gora
kera,lie down,
keraklan,mostly,halos lahat
keraklan,majority,"karamihan, kalakhang bahagi"
keraklan,mainly,kaunaunahan
kesa,instead,"bagkos, bagkus"
kesa,than,kaysa
kesyo,this or that,
ket,bite,kagatin
ketubasan,gone bad,
kikimut,active,aktibo
kikwan,miscarriage,kunan
kilap,"sheen, shine","kintab, ningning, kislap"
kildap,lightning,kidlat
"kildap, alti",earthquake wari?!?!?,
kile,brow,kilay
kile,eyebrow,kilay
kilikitan,tickle,kiliti
kilim,flicker,"pumagakpak, pumagaspas"
kilual,outside,labas
kilub,inside,sa loob ng
kilub,in,sa lugar
kilub,interior,loob
kimo,awkward,"kahihiyan, napahiya"
kimtse,parsley,kintsay
kimut,movement,"kilos, kumilos"
kingwa,taken from,
kintalan,brand,tatak
kiyak,cry,iyak
kodernu,notebook,kwaderno
"kodrado, kuadrado",square,"kudrado, kuwadrado"
komanggi,brown skin color,
komangi,brown,kape
komentarista,commentator,tagapagpaliwanag
kompania,company,kompanya
kompeticion,competition,tagisan
konbiniente,convenient,"ukol, bagay, akma, marapat, samana pre"
kornatin,cornet,"korneta, patunog na tanso, tambuling tanso"
korobius,germs,kagaw
"kortina, iskrin",screen,tabing
kosiang,pious,"banal, madasalin"
"kotu, kuota",quota,"kwota, ukol na hulog, ) abuloy, ambag"
krisotan,a literary joust,
krobyus,microbe,mikrobyo
krobyus,germ,mikrobyo
krobyus,virus,nana na nakakahawa
kuartu,room in the house,
kuartu,room,"silid, kuwarto"
kubiertos,silverware,kubyertos
kubit,crooked,baluktot
kuchillo,kitchen knife,
kueba,cave,kuweba
"kuento, istoria",tale,"kuwento, kwento"
kuentu,narrate,"salaysay, magsalaysay, isalaysay"
"kuentu, istoria",relate,"salaysay, magsalaysay, isalaysay"
kuerdas,chord,"kwerdas, lubid, panali"
kukharita,teaspoon,kutarita
kukul,piece of cane sugar,
kulapispis,bankrupt,bangkarote
kulate,creep like a vine,
kulayu,owl,kuwago
kuldas,alight,bumaba
kuldas,"alight, climb down, descend",bumaba
kule,color,kulay
kulebra,a deadly disease,
kuliat,"a kind of tree, its fruit",
"kulion, kulio",boo,bulaga
kulkul,hole,lungga
kulkul,hole in the ground,
kulkulan,"dig, dirg a hole",hukay
kulta,curdle like milk,
kulubasa,squash,kalabasa
kulul,color,kulay
kulul suklati,brown,kape
kulumbu,mosquito net,
kuluping,deformation of ear,
kulutun,frown,"sungit, sibangot"
kulyat,tree,puno
kulyawan,the color yellow,
kulyo,yell,hiyaw
kumad,larvae of head lice,
kumad,louse,kuto
"kumayap, mibawi",recover,mabawi
"kumpas, tiempo",rhythm,ritmo
kumusad,slither,slither
kumyak,cry,iyak
kuneu,rabbit,kuneho
kunyat,chewiness,kunat
